country,meropenem_res,meropenem_sus,ciprofloxacin_res,ciprofloxacin_sus,cefotaxime_res,cefotaxime_sus,total,meropenem_rate,ciprofloxacin_rate,cefotaxime_rate
USA: District of Columbia,2,2095,353,1735,7,16,4208,0.0014,0.1694,0.32
USA,257,218,326,1242,314,19,2376,0.5409,0.2083,0.9403
USA:Boston,105,878,604,515,0,0,2102,0.1076,0.5397,0.5
USA:GA,0,528,95,1037,0,0,1660,0.0019,0.0847,0.5
USA:CA,0,543,117,928,0,0,1588,0.0018,0.1127,0.5
USA:TN,0,538,92,882,0,0,1512,0.0019,0.0953,0.5
"USA:Washington, DC",70,152,549,73,521,19,1384,0.317,0.8814,0.9631
USA:CO,0,487,82,781,0,0,1350,0.002,0.096,0.5
USA:TX,0,542,88,687,0,0,1317,0.0018,0.1145,0.5
USA:PA,0,443,75,762,0,0,1280,0.0022,0.0906,0.5
USA:MD,0,438,65,759,0,0,1262,0.0023,0.0799,0.5
USA:IA,0,522,67,650,0,0,1239,0.0019,0.0946,0.5
USA:NM,0,288,73,808,0,0,1169,0.0034,0.0838,0.5
Netherlands,0,335,162,173,440,48,1158,0.003,0.4837,0.9
USA:NY,0,392,72,678,0,0,1142,0.0025,0.0971,0.5
USA:SC,0,437,80,488,0,0,1005,0.0023,0.1421,0.5
USA:MN,0,254,57,603,0,0,914,0.0039,0.0876,0.5
USA:OR,0,349,23,535,0,0,907,0.0028,0.0429,0.5
USA: California,9,136,227,448,9,5,834,0.068,0.3368,0.625
USA:KS,0,349,56,402,0,0,807,0.0028,0.1239,0.5
USA:NC,0,332,52,390,0,0,774,0.003,0.1194,0.5
USA:MO,0,289,71,392,0,0,752,0.0034,0.1548,0.5
USA:SD,0,336,48,335,0,0,719,0.003,0.1273,0.5
Mexico,2,156,253,54,19,135,619,0.0188,0.822,0.1282
USA:WA,0,207,41,313,0,0,561,0.0048,0.118,0.5
Canada: Quebec,0,177,4,174,113,62,530,0.0056,0.0278,0.6441
USA:CT,0,111,29,389,0,1,530,0.0088,0.0714,0.3333
USA:LA,0,101,39,308,0,0,448,0.0097,0.1146,0.5
Canada:Ontario,0,59,4,271,0,0,334,0.0164,0.0181,0.5
USA: Texas,45,11,242,8,10,2,318,0.7931,0.9643,0.7857
Canada:Quebec,0,0,0,316,0,0,316,0.5,0.0031,0.5
Tunisia: Sfax,65,26,93,5,96,4,289,0.7097,0.94,0.951
Israel,0,17,125,147,0,0,289,0.0526,0.4599,0.5
